                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.87723,                0.44116,                 1.1906,                0.92814,                 0.8707,                0.91888,                0.47108,                 1.6204,                0.70198,                 1.9478,              0.0006932,              0.0006932,              0.0006932
                     36,                0.86964,                0.43774,                 1.1825,                0.96235,                0.87951,                   0.93,                0.47394,                 1.6481,                0.65981,                 1.9939,              0.0006536,              0.0006536,              0.0006536
                     37,                0.86699,                0.42979,                 1.1761,                0.93269,                0.88137,                0.92702,                0.48615,                 1.6105,                0.68097,                 1.9419,               0.000614,               0.000614,               0.000614
                     38,                0.86292,                0.42983,                 1.1752,                0.95449,                0.87484,                0.92761,                 0.4757,                 1.6454,                 0.6546,                  1.982,              0.0005744,              0.0005744,              0.0005744
                     39,                0.85369,                0.42505,                 1.1692,                0.95562,                 0.8757,                0.92601,                0.48713,                 1.6033,                  0.659,                 1.9413,              0.0005348,              0.0005348,              0.0005348
                     40,                 0.8467,                 0.4203,                 1.1685,                0.96247,                 0.8853,                0.93095,                 0.4901,                 1.6024,                0.62458,                 1.9182,              0.0004952,              0.0004952,              0.0004952
                     41,                0.75876,                0.37522,                 1.1393,                0.94599,                0.87669,                 0.9156,                0.48106,                 1.6299,                0.65641,                  1.958,              0.0004556,              0.0004556,              0.0004556
                     42,                0.75679,                0.37268,                 1.1347,                0.93858,                0.89232,                0.92979,                0.49751,                 1.6086,                0.64987,                 1.9573,               0.000416,               0.000416,               0.000416
                     43,                0.74783,                0.36265,                 1.1321,                 0.9361,                0.87073,                 0.9241,                0.48664,                 1.6274,                0.68728,                 1.9519,              0.0003764,              0.0003764,              0.0003764
                     44,                0.73473,                0.35769,                  1.122,                 0.9609,                0.88425,                0.93092,                0.48547,                 1.6263,                0.64076,                  1.993,              0.0003368,              0.0003368,              0.0003368
                     45,                0.72527,                0.35571,                 1.1187,                0.94959,                0.89155,                0.92931,                0.47589,                 1.6249,                0.64408,                  1.988,              0.0002972,              0.0002972,              0.0002972
                     46,                0.72476,                0.34988,                 1.1115,                0.96016,                 0.8544,                0.92437,                0.47026,                  1.641,                0.66731,                 2.0138,              0.0002576,              0.0002576,              0.0002576
                     47,                0.72004,                0.34518,                 1.1138,                0.94715,                0.88008,                0.92923,                0.47975,                 1.6351,                0.66157,                 1.9992,               0.000218,               0.000218,               0.000218
                     48,                0.70907,                0.34056,                  1.105,                0.92326,                0.89067,                0.92382,                0.48279,                 1.6317,                0.66969,                 1.9976,              0.0001784,              0.0001784,              0.0001784
                     49,                0.69848,                0.33496,                 1.0977,                0.92875,                0.89704,                 0.9274,                0.47753,                  1.654,                0.65723,                 2.0147,              0.0001388,              0.0001388,              0.0001388
                     50,                0.69354,                0.33093,                 1.0935,                0.95735,                0.87174,                0.92766,                0.48179,                 1.6312,                0.64861,                 1.9959,               9.92e-05,               9.92e-05,               9.92e-05
